LETTER ANALYSIS

Letter	Freq	Freq%	AvgFreq%	Diff
A	73	11.8	8.2		 3.6
B	0	0.0	1.5		-1.5
C	12	1.9	2.8		-0.9
D	5	0.8	4.3		-3.5
E	10	1.6	12.7		-11.1
F	0	0.0	2.2		-2.2
G	5	0.8	2.0		-1.2
H	7	1.1	6.1		-5.0
I	14	2.3	7.0		-4.7
J	37	6.0	0.2		 5.8
K	38	6.1	0.8		 5.3
L	45	7.3	4.0		 3.3
M	28	4.5	2.4		 2.1
N	0	0.0	6.7		-6.7
O	12	1.9	7.5		-5.6
P	15	2.4	1.9		 0.5
Q	9	1.5	0.1		 1.4
R	4	0.6	6.0		-5.4
S	24	3.9	6.3		-2.4
T	25	4.0	9.1		-5.1
U	20	3.2	2.8		 0.4
V	18	2.9	1.0		 1.9
W	2	0.3	2.4		-2.1
X	1	0.2	0.2		 0.0
Y	19	3.1	2.0		 1.1
Z	17	2.8	0.1		 2.7

The most frequent letter is A at 11.8%
